2010-10-11 09:09:12,492 | INFO  | Using Persistence Adapter: org.apache.activemq.store.kahadb.KahaDBPersistenceAdapter@3465b738 | org.apache.activemq.broker.BrokerService | main
2010-10-11 09:09:12,692 | INFO  | ActiveMQ 5.3.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2010-10-11 09:09:12,692 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2010-10-11 09:09:13,208 | INFO  | Listening for connections at: tcp://SemaineDemoMac.local:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2010-10-11 09:09:13,209 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2010-10-11 09:09:13,210 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:SemaineDemoMac.local-49157-1286780952722-0:0) started | org.apache.activemq.broker.BrokerService | main
2010-10-11 09:09:13,309 | INFO  | Logging to org.slf4j.impl.JCLLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog | org.mortbay.log | main
2010-10-11 09:09:13,335 | INFO  | jetty-6.1.9 | org.mortbay.log | main
2010-10-11 09:09:14,459 | INFO  | WebApp@418521695 at http://0.0.0.0:8161/admin | org.mortbay.log | main
2010-10-11 09:09:14,784 | INFO  | WebApp@418521695 at http://0.0.0.0:8161/camel | org.mortbay.log | main
2010-10-11 09:09:14,926 | INFO  | WebApp@418521695 at http://0.0.0.0:8161/demo | org.mortbay.log | main
2010-10-11 09:09:15,048 | INFO  | WebApp@418521695 at http://0.0.0.0:8161/fileserver | org.mortbay.log | main
2010-10-11 09:09:15,086 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.mortbay.log | main
2010-10-11 09:24:47,679 | INFO  | ActiveMQ Message Broker (localhost, ID:SemaineDemoMac.local-49157-1286780952722-0:0) is shutting down | org.apache.activemq.broker.BrokerService | Thread-9
2010-10-11 09:24:48,777 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | Thread-9
2010-10-11 09:24:49,154 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:SemaineDemoMac.local-49157-1286780952722-0:0) stopped | org.apache.activemq.broker.BrokerService | Thread-9
2010-10-11 15:41:11,145 | INFO  | Using Persistence Adapter: org.apache.activemq.store.kahadb.KahaDBPersistenceAdapter@3a4c5b4 | org.apache.activemq.broker.BrokerService | main
2010-10-11 15:41:48,751 | INFO  | Using Persistence Adapter: org.apache.activemq.store.kahadb.KahaDBPersistenceAdapter@25e222e | org.apache.activemq.broker.BrokerService | main
2010-10-11 15:41:49,713 | INFO  | Replayed 1 operations from the journal in 0.0050 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2010-10-11 15:41:49,736 | INFO  | ActiveMQ 5.3.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2010-10-11 15:41:49,737 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2010-10-11 15:41:50,846 | INFO  | Listening for connections at: tcp://SemaineDemoMac.local:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2010-10-11 15:41:50,847 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2010-10-11 15:41:50,848 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:SemaineDemoMac.local-60473-1286804509748-0:0) started | org.apache.activemq.broker.BrokerService | main
2010-10-11 15:41:50,899 | INFO  | Logging to org.slf4j.impl.JCLLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog | org.mortbay.log | main
2010-10-11 15:41:50,905 | INFO  | jetty-6.1.9 | org.mortbay.log | main
2010-10-11 15:41:51,419 | INFO  | WebApp@27649674 at http://0.0.0.0:8161/admin | org.mortbay.log | main
2010-10-11 15:41:51,714 | INFO  | WebApp@27649674 at http://0.0.0.0:8161/camel | org.mortbay.log | main
2010-10-11 15:41:51,803 | INFO  | WebApp@27649674 at http://0.0.0.0:8161/demo | org.mortbay.log | main
2010-10-11 15:41:51,880 | INFO  | WebApp@27649674 at http://0.0.0.0:8161/fileserver | org.mortbay.log | main
2010-10-11 15:41:51,960 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.mortbay.log | main
2010-10-11 16:28:24,313 | INFO  | ActiveMQ Message Broker (localhost, ID:SemaineDemoMac.local-60473-1286804509748-0:0) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2010-10-11 16:28:25,573 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2010-10-11 16:28:25,665 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:SemaineDemoMac.local-60473-1286804509748-0:0) stopped | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2010-11-08 15:10:56,219 | INFO  | Using Persistence Adapter: org.apache.activemq.store.kahadb.KahaDBPersistenceAdapter@1137d4a4 | org.apache.activemq.broker.BrokerService | main
2010-11-08 15:10:57,755 | INFO  | Replayed 1 operations from the journal in 0.037 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2010-11-08 15:10:57,780 | INFO  | ActiveMQ 5.3.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2010-11-08 15:10:57,780 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2010-11-08 15:10:59,149 | INFO  | Listening for connections at: tcp://lt-guest25.dfki.uni-sb.de:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2010-11-08 15:10:59,150 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2010-11-08 15:10:59,151 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:lt-guest25.dfki.uni-sb.de-55292-1289225457802-0:0) started | org.apache.activemq.broker.BrokerService | main
2010-11-08 15:10:59,295 | INFO  | Logging to org.slf4j.impl.JCLLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog | org.mortbay.log | main
2010-11-08 15:10:59,302 | INFO  | jetty-6.1.9 | org.mortbay.log | main
2010-11-08 15:10:59,853 | INFO  | WebApp@1355224018 at http://0.0.0.0:8161/admin | org.mortbay.log | main
2010-11-08 15:11:00,063 | INFO  | WebApp@1355224018 at http://0.0.0.0:8161/camel | org.mortbay.log | main
2010-11-08 15:11:00,229 | INFO  | WebApp@1355224018 at http://0.0.0.0:8161/demo | org.mortbay.log | main
2010-11-08 15:11:00,298 | INFO  | WebApp@1355224018 at http://0.0.0.0:8161/fileserver | org.mortbay.log | main
2010-11-08 15:11:00,312 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.mortbay.log | main
2010-11-08 15:11:20,708 | INFO  | Usage Manager memory limit reached for topic://semaine.test.topic. Producers will be throttled to the rate at which messages are removed from this destination to prevent flooding it. See http://activemq.apache.org/producer-flow-control.html for more info | org.apache.activemq.broker.region.Topic | ActiveMQ Transport: tcp:///127.0.0.1:55305
2010-11-08 15:11:24,453 | WARN  | PWC6117: File "/Users/marc/SEMAINE/trunk/apache-activemq-5.3.0/webapps/admin/topics.jsp" not found | org.apache.jasper.servlet.JspServlet | btpool0-1
2010-11-08 15:12:22,311 | INFO  | ActiveMQ Message Broker (localhost, ID:lt-guest25.dfki.uni-sb.de-55292-1289225457802-0:0) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2010-11-08 15:12:23,170 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2010-11-08 15:12:23,454 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:lt-guest25.dfki.uni-sb.de-55292-1289225457802-0:0) stopped | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
