Go on – tell me how angry you feel;Spike;angry;;(about current character);tell me more + angry;;;;;;;; -
Do go on -  I love hearing all this happiness;Poppy;happy;(positive);;tell me more + happy;;;;;;;; -
Tell me all the awful details;Obadiah;;negative;;tell me more + negative;;1;;;;;; -
Well, what happened ;Spike;;;;tell me more + past_event;;;1;;;;; -
Tell me all the awful details;Obadiah;sad;;;tell me more + sad;;;;;;;; -
Tell me just how bad you feel ;Obadiah;sad;;;tell me more + sad;;;;;;;; -
Amazing!;Poppy;happy;(positive);;;;;1;;;;; -
Amazing!;Poppy;happy;(positive);;;;1;;;-1;;; -
aren't you just great?;Poppy;happy;(positive);;;;1;;;-1;;; -
As one door closes another one slams in your face, I always say ;Obadiah;sad;;(about own feelings)/(agree);;;;;;;;; -
As one door closes another one slams in your face, I always say ;Obadiah;;negative;(about own feelings)/(agree);;;;;;;;; -
Boo hoo ;Spike;angry;(negative);;;;-1;;;;;; -
Boo hoo ;Spike;sad;(negative);;;;-1;;;;;; -
Buddha says when you expect nothing everything is a gift;Prudence;(happy);positive;;;;;;-1;;1;; -
But how will you get through this? ;Obadiah;;;;;based on history;;;;;;; -
Can you remember feeling more miserable?;Obadiah;sad;;about own feelings;;;;;;;;; -
can't you do anything about it?;Poppy/Prudence;sad;(negative);;;;;;1;;;; -
can't you do anything about it?;Poppy/Prudence;sad;(negative);;;;;;;;1;; -
Can't you take a joke?;Spike;(angry);negative;about current character;;;;;;;;; -
Can't you take a joke?;Spike;angry;;about current character;;;;;;;;; -
Come off it ;Spike;happy;;about own feelings;;;;;;;;; -
Come off it ;Spike;happy;;;;;1;;;;;; -
Do you feel a little unsure? ;Prudence;;;;;;;;;;1;; -
Do you think being angry makes people want to help you?;Prudence;angry;;(about own feelings) / about other people;;;;;;;;; -
Do you think that you are wise?;Prudence/Spike;(happy);positive;(about own feelings);;;1;;;;;; -
Do you think that you are wise?;Prudence/Spike;happy;(positive);about own feelings;;;-1;;;;;; -
Don't get carried away;Prudence;happy;(positive);;;;;;;;-1;; -
Don't get carried away;Prudence;;positive;;;;;;;;1;; -
Don't let the bastards grind you down ;Spike;(angry);negative;about other people;;;;-1;;;;; -
don't take it out on me ;Prudence/Obadiah;angry;;about current character;;;;;;;;; -
don't take it out on me ;Prudence/Obadiah;angry;;;;;;;;;;; -
Don't you ever get angry at the world?;Spike;happy;;;;;;;;;;; -
Don't you ever get angry at the world?;Spike;sad;;;;;;;;;;; -
Don't you ever get angry at the world?;Spike;;positive;;;;;;;;;; -
Don't you get sad sometimes? ;Obadiah;happy;;;;;;;;;;; -
Don't you get sad sometimes? ;Obadiah;;positive;;;;;;;;;; -
Enjoy it while it lasts ;Prudence;(happy);positive;(about own feelings);;;1;;;;;; -
Enjoy it while it lasts ;Prudence;happy;(positive);about own feelings;;;-1;;;;;; -
Everything can be just crap! ;Spike;angry;;(about own feelings)/(about other people)/(about other character);;;-1;-1;-1;-1;-1;; -
Everything can be just crap! ;Spike;sad;;(about own feelings)/(about other people)/(about other character);;;-1;-1;-1;-1;-1;; -
Everything can be just crap! ;Spike;;negative;(about own feelings)/(about other people)/(about other character);;;-1;-1;-1;-1;-1;; -
Everything will work out – you'll see;Poppy;sad;;;;;;;1;;-1;; -
get a grip ;Prudence;sad;;;;;;;;;;; -
get a grip ;Prudence;;negative;;;;1;;;;;; -
Have I said something wrong?;Poppy/Spike/Obadiah/Prudence;angry;(negative);about current character;;;;;;;;; -
Have you ever regretted being so headstrong?;Prudence;;;;;Remove?;;;;;;; -
How do you do it? ;Poppy;;;;;Special;;;;;;; -
How?;Poppy/Spike/Obadiah/Prudence;;;;;Special case based on context;;;;;;; -
I can't help thinking about the black side of things;Obadiah;;;about current character;;;;;;;;; -
I don't believe you sit there and take it all. ;Spike;;(negative);about other people;;;;;;;;; -
I don't suppose it really matters, though ;Obadiah;;;;;Special;;;;;;; -
I know just how you feel, what's happened?;Obadiah;sad;;about own feelings;;;;;;;;; -
I suppose you really think you're something.;Spike;(angry);negative;about current character;;;-1;;;;;; -
I suppose you really think you're something.;Spike;(happy);positive;(about own feelings);;;1;;;;;; -
I think you should feel really happy today;Poppy;sad;;;;;;;;;;; -
I think you should feel really happy today;Poppy;;negative;;;;1;;;;;; -
I think you've done really well;Poppy;;(negative);;;;1;;;-1;-1;; -
I understand - but it does no good to be angry;Poppy;angry;(negative);about current character;;;;;;;;; -
If you're laughing, people won't take you seriously ;Obadiah;;;;;;;;;;;1; -
